Player,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,2P%,eFG%,FT%,Season,Salary,Rating,Cap Maximum,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG
Anthony Carter,34,109,14,38.8,2.8,7.8,0.6,2.4,2.2,5.4,0.4,0.4,0.6,2.6,3.2,9.0,1.4,0.4,2.2,2.6,6.6,0.359,0.25,0.407,0.397,1.0,2010,1.306,61,58.04,0,0,1,0,0
Anthony Johnson,35,32,0,18.1,2.6,5.6,0.4,2.3,2.2,3.3,0.6,0.6,0.3,1.3,1.5,4.0,0.4,0.0,0.8,1.0,6.2,0.464,0.174,0.667,0.5,1.0,2010,2.16,61,58.04,0,0,1,0,0
Anthony Parker,34,92,92,58.4,5.2,11.7,3.1,7.2,2.1,4.4,1.9,2.6,0.5,4.8,5.3,3.2,1.6,0.5,1.9,3.4,15.6,0.444,0.431,0.477,0.577,0.731,2010,2.644,68,58.04,0,0,0,0,1
Anthony Randolph,20,33,8,22.7,4.2,9.4,0.0,0.2,4.1,9.2,3.3,4.1,2.2,4.3,6.5,1.3,0.8,1.5,1.5,2.8,11.6,0.447,0.0,0.446,0.447,0.805,2010,1.838,67,58.04,1,0,0,0,0
Antoine Wright,25,67,10,20.8,2.4,6.0,0.9,2.6,1.6,3.4,0.8,1.1,0.6,2.3,2.8,1.1,0.4,0.2,0.9,2.0,6.5,0.4,0.346,0.471,0.475,0.727,2010,2.111,60,58.04,0,0,0,1,0
Antonio McDyess,35,87,60,45.7,6.0,11.8,0.0,0.0,6.0,11.7,0.7,0.9,3.7,9.0,12.7,2.3,0.8,1.1,1.9,4.6,12.6,0.508,0.0,0.513,0.508,0.778,2010,7.5,68,58.04,0,1,0,0,0
Arron Afflalo,24,88,81,47.1,6.6,12.4,2.3,5.3,4.3,7.1,2.4,3.0,0.9,4.2,5.1,2.9,0.8,0.7,1.6,6.2,18.0,0.532,0.434,0.606,0.625,0.8,2010,1.086,63,58.04,0,0,0,0,1
Austin Daye,21,69,4,13.3,2.0,4.3,0.4,1.4,1.6,2.9,0.7,0.8,0.5,2.0,2.5,0.5,0.4,0.4,0.7,1.7,5.1,0.465,0.286,0.552,0.512,0.875,2010,1.678,60,58.04,0,0,0,1,0
Baron Davis,30,75,73,33.6,5.5,13.5,1.1,3.9,4.4,9.6,3.2,3.9,0.7,2.9,3.5,8.0,1.7,0.6,2.8,2.8,15.3,0.407,0.282,0.458,0.448,0.821,2010,12.15,82,58.04,0,0,1,0,0
Ben Gordon,26,124,34,55.8,9.4,22.6,2.4,7.6,7.0,15.0,6.4,7.4,0.8,3.0,3.8,5.4,1.6,0.2,3.8,4.8,27.6,0.416,0.316,0.467,0.469,0.865,2010,10.0,78,58.04,0,0,0,0,1
Ben Wallace,35,69,67,28.6,2.3,4.2,0.0,0.0,2.3,4.2,0.9,2.3,3.6,5.1,8.7,1.5,1.2,1.2,0.9,1.9,5.5,0.548,0.0,0.548,0.548,0.391,2010,1.306,71,58.04,1,0,0,0,0
Beno Udrih,27,158,82,62.8,10.6,21.2,1.8,5.0,8.6,16.2,3.0,3.6,1.0,4.6,5.6,9.4,2.2,0.2,3.4,4.2,25.8,0.5,0.36,0.531,0.542,0.833,2010,6.032,64,58.04,0,0,1,0,0
Bobby Brown,25,90,0,34.7,5.9,15.9,1.8,6.6,4.2,9.3,0.9,1.0,0.5,1.9,2.5,5.9,1.0,0.0,3.1,2.8,14.4,0.371,0.273,0.452,0.428,0.9,2010,0.736,58,58.04,0,0,1,0,0
Bobby Simmons,29,23,2,17.2,1.8,5.1,0.9,2.7,1.0,2.3,0.8,0.9,0.5,2.3,2.7,0.7,0.7,0.1,0.8,2.3,5.3,0.353,0.333,0.435,0.441,0.889,2010,10.56,63,58.04,0,1,0,0,0
Boris Diaw,27,86,86,73.4,8.0,16.4,1.1,4.8,7.0,11.7,1.7,2.3,3.4,6.9,10.2,8.0,1.0,1.5,5.2,5.5,18.8,0.488,0.229,0.598,0.521,0.739,2010,9.0,72,58.04,0,1,0,0,0
Brad Miller,33,87,37,42.4,5.0,12.5,0.5,2.4,4.6,10.1,3.6,4.1,1.6,6.9,8.5,2.7,0.5,0.6,2.7,5.5,14.2,0.4,0.208,0.455,0.42,0.878,2010,12.25,65,58.04,1,0,0,0,0
Brandon Bass,24,57,3,19.0,3.4,6.6,0.0,0.0,3.4,6.6,1.7,2.2,1.4,2.4,3.6,0.5,0.2,0.5,0.7,1.7,8.5,0.515,0.0,0.515,0.515,0.773,2010,4.0,68,58.04,0,1,0,0,0
Brandon Jennings,20,96,96,103.8,19.5,49.0,5.2,16.5,14.3,32.7,8.7,10.7,2.0,7.4,9.4,12.9,3.5,1.4,4.6,7.7,52.9,0.398,0.315,0.437,0.451,0.813,2010,2.169,64,58.04,0,0,1,0,0
Brandon Roy,25,68,66,64.9,10.9,27.0,1.8,7.4,9.1,19.6,7.6,9.8,1.8,5.0,6.7,6.4,0.9,0.2,3.0,4.4,31.2,0.404,0.243,0.464,0.437,0.776,2010,3.911,87,58.04,0,0,0,0,1
Brandon Rush,24,82,64,30.4,3.6,8.6,1.5,3.7,2.1,4.9,0.7,1.1,0.5,3.7,4.2,1.4,0.7,0.8,1.1,1.9,9.4,0.419,0.405,0.429,0.506,0.636,2010,1.934,65,58.04,0,0,0,0,1
Brendan Haywood,30,166,138,136.4,14.5,25.8,0.0,0.0,14.5,25.7,9.9,16.1,16.5,23.0,39.4,2.9,3.4,9.6,4.8,12.6,39.0,0.562,0.0,0.564,0.562,0.615,2010,6.0,60,58.04,1,0,0,0,0
Brook Lopez,21,82,82,36.9,6.9,13.8,0.0,0.0,6.9,13.7,5.1,6.2,3.3,5.4,8.6,2.3,0.7,1.7,2.5,3.1,18.8,0.5,0.0,0.504,0.5,0.823,2010,2.226,77,58.04,1,0,0,0,0
CJ Miles,22,73,38,57.5,8.5,19.5,2.7,8.0,5.9,11.5,4.5,5.4,1.2,4.0,5.2,4.5,1.5,0.9,3.2,7.8,24.3,0.436,0.338,0.513,0.505,0.833,2010,3.7,57,58.04,0,0,0,1,0
Carl Landry,26,160,58,95.7,19.0,35.7,0.0,0.1,19.0,35.6,12.7,16.0,7.1,10.8,17.9,2.5,2.2,2.3,5.2,8.8,50.9,0.532,0.0,0.534,0.532,0.794,2010,3.0,68,58.04,0,1,0,0,0
Carlos Boozer,28,88,88,74.5,16.8,30.9,0.0,0.0,16.8,30.9,5.6,8.4,5.6,18.8,24.4,6.2,1.5,1.2,5.1,7.3,39.2,0.544,0.0,0.544,0.544,0.667,2010,13.52,84,58.04,0,1,0,0,0
Carlos Delfino,27,82,73,62.7,7.7,20.2,3.9,10.2,3.8,10.0,1.6,2.2,1.1,8.2,9.3,5.3,1.8,0.6,3.3,3.8,21.0,0.381,0.382,0.38,0.478,0.727,2010,3.5,62,58.04,0,0,0,1,0
Carmelo Anthony,25,75,75,80.5,20.7,44.8,1.9,5.9,18.8,38.9,15.7,18.4,4.5,10.6,15.1,6.5,3.3,0.9,6.5,7.6,58.9,0.462,0.322,0.483,0.483,0.853,2010,15.78,88,58.04,0,0,0,1,0
Caron Butler,29,154,154,145.1,25.3,58.7,2.9,9.7,22.4,49.0,14.6,17.2,4.6,19.4,24.1,7.5,6.3,1.7,8.8,10.5,68.1,0.431,0.299,0.457,0.456,0.849,2010,9.781,83,58.04,0,0,0,0,1
